,sofifa_id,link
87,192774,https://fbref.com/en/players/c707411f/all_comps/Kostas-Manolas-Stats---All-Competitions
88,197445,https://fbref.com/en/players/05439de2/all_comps/David-Alaba-Stats---All-Competitions
89,203376,https://fbref.com/en/players/e06683ca/all_comps/Virgil-van-Dijk-Stats---All-Competitions
90,184087,https://fbref.com/en/players/f7d50789/all_comps/Toby-Alderweireld-Stats---All-Competitions
91,193747,https://fbref.com/en/players/55126f3b/all_comps/Koke-Stats---All-Competitions
92,9014,https://fbref.com/en/players/09586899/all_comps/Arjen-Robben-Stats---All-Competitions
93,41236,https://fbref.com/en/players/4cde5509/all_comps/Zlatan-Ibrahimovic-Stats---All-Competitions
94,120533,https://fbref.com/en/players/c906ce0f/all_comps/Pepe-Stats---All-Competitions
95,139720,https://fbref.com/en/players/d2bff301/all_comps/Vincent-Kompany-Stats---All-Competitions
96,156616,https://fbref.com/en/players/f61c7c4e/all_comps/Franck-Ribery-Stats---All-Competitions
97,164169,https://fbref.com/en/players/e4ed2628/all_comps/Filipe-Luis-Stats---All-Competitions
98,167397,https://fbref.com/en/players/66116290/all_comps/Radamel-Falcao-Stats---All-Competitions
99,168609,https://fbref.com/en/players/314f2124/all_comps/Miranda-Stats---All-Competitions
100,170890,https://fbref.com/en/players/c0cddebe/all_comps/Blaise-Matuidi-Stats---All-Competitions
101,178518,https://fbref.com/en/players/1f9328da/all_comps/Radja-Nainggolan-Stats---All-Competitions
102,179844,https://fbref.com/en/players/a190d597/all_comps/Diego-Costa-Stats---All-Competitions
103,179846,https://fbref.com/en/players/38ac43d3/all_comps/Sami-Khedira-Stats---All-Competitions
104,180930,https://fbref.com/en/players/3bb7f478/all_comps/Edin-Dzeko-Stats---All-Competitions
105,181872,https://fbref.com/en/players/67cdbc0e/all_comps/Arturo-Vidal-Stats---All-Competitions
106,184267,https://fbref.com/en/players/56b5d64e/all_comps/Yacine-Brahimi-Stats---All-Competitions
107,187961,https://fbref.com/en/players/bb7337cc/all_comps/Paulinho-Stats---All-Competitions
108,188350,https://fbref.com/en/players/36a3ff67/all_comps/Marco-Reus-Stats---All-Competitions
109,192629,https://fbref.com/en/players/7dcf86f6/all_comps/Iago-Aspas-Stats---All-Competitions
110,204485,https://fbref.com/en/players/892d5bb1/all_comps/Riyad-Mahrez-Stats---All-Competitions
