,sofifa_id,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won_pct
86,156616.0,4.0,0.0,0.0,25.0,27.0,16.0,60.0,1.0,0.0,0.0,136.0,0.0
87,164169.0,6.0,0.0,0.0,29.0,19.0,2.0,63.0,0.0,0.0,0.0,277.0,75.0
88,167397.0,12.0,0.0,0.0,78.0,71.0,20.0,8.0,1.0,1.0,0.0,131.0,43.6
89,168609.0,3.0,0.0,0.0,26.0,12.0,1.0,1.0,0.0,2.0,0.0,149.0,62.2
90,170890.0,8.0,0.0,0.0,47.0,31.0,11.0,42.0,0.0,0.0,0.0,240.0,41.3
91,178518.0,3.0,0.0,0.0,33.0,39.0,3.0,45.0,0.0,0.0,0.0,212.0,43.2
92,179844.0,8.0,1.0,0.0,29.0,25.0,20.0,6.0,0.0,0.0,0.0,42.0,35.4
93,179846.0,0.0,0.0,0.0,7.0,5.0,0.0,11.0,0.0,0.0,0.0,67.0,85.7
94,180930.0,11.0,1.0,0.0,42.0,44.0,19.0,32.0,1.0,0.0,0.0,135.0,60.2
95,181872.0,10.0,0.0,0.0,89.0,46.0,3.0,12.0,0.0,0.0,0.0,210.0,56.8
96,184267.0,2.0,0.0,0.0,41.0,77.0,3.0,26.0,1.0,0.0,0.0,47.0,50.0
97,188350.0,4.0,1.0,0.0,43.0,44.0,18.0,55.0,2.0,1.0,0.0,167.0,39.4
98,192629.0,5.0,0.0,0.0,20.0,45.0,7.0,31.0,1.0,0.0,0.0,126.0,33.3
99,204485.0,1.0,0.0,0.0,20.0,27.0,16.0,127.0,0.0,0.0,0.0,138.0,37.9
