values,unit,isced11,sex,geo,time
80550.0,NR,ED0,T,PL92,2018
0.0,NR,ED0,T,PLZZ,2018
,NR,ED0,T,PT11,2018
,NR,ED0,T,PT15,2018
,NR,ED0,T,PT16,2018
,NR,ED0,T,PT17,2018
,NR,ED0,T,PT18,2018
,NR,ED0,T,PT20,2018
,NR,ED0,T,PT30,2018
,NR,ED0,T,PTZZ,2018
80397.0,NR,ED0,T,RO11,2018
74367.0,NR,ED0,T,RO12,2018
93858.0,NR,ED0,T,RO21,2018
64828.0,NR,ED0,T,RO22,2018
73107.0,NR,ED0,T,RO31,2018
59495.0,NR,ED0,T,RO32,2018
50146.0,NR,ED0,T,RO41,2018
45724.0,NR,ED0,T,RO42,2018
0.0,NR,ED0,T,ROZZ,2018
69320.0,NR,ED0,T,RS11,2018
59210.0,NR,ED0,T,RS12,2018
50075.0,NR,ED0,T,RS21,2018
34114.0,NR,ED0,T,RS22,2018
,NR,ED0,T,RSZZ,2018
151391.0,NR,ED0,T,SE11,2018
104746.0,NR,ED0,T,SE12,2018
52310.0,NR,ED0,T,SE21,2018
96353.0,NR,ED0,T,SE22,2018
123613.0,NR,ED0,T,SE23,2018
49099.0,NR,ED0,T,SE31,2018
21838.0,NR,ED0,T,SE32,2018
29735.0,NR,ED0,T,SE33,2018
0.0,NR,ED0,T,SEZZ,2018
43177.0,NR,ED0,T,SI03,2018
43526.0,NR,ED0,T,SI04,2018
0.0,NR,ED0,T,SIZZ,2018
24377.0,NR,ED0,T,SK01,2018
53589.0,NR,ED0,T,SK02,2018
39964.0,NR,ED0,T,SK03,2018
48382.0,NR,ED0,T,SK04,2018
0.0,NR,ED0,T,SKZZ,2018
,NR,ED0,T,TRZZ,2018
,NR,ED0,T,TR10,2018
,NR,ED0,T,TR21,2018
,NR,ED0,T,TR22,2018
,NR,ED0,T,TR31,2018
,NR,ED0,T,TR32,2018
,NR,ED0,T,TR33,2018
,NR,ED0,T,TR41,2018
,NR,ED0,T,TR42,2018
,NR,ED0,T,TR51,2018
,NR,ED0,T,TR52,2018
,NR,ED0,T,TR61,2018
,NR,ED0,T,TR62,2018
,NR,ED0,T,TR63,2018
,NR,ED0,T,TR71,2018
,NR,ED0,T,TR72,2018
,NR,ED0,T,TR81,2018
,NR,ED0,T,TR82,2018
,NR,ED0,T,TR83,2018
,NR,ED0,T,TR90,2018
,NR,ED0,T,TRA1,2018
,NR,ED0,T,TRA2,2018
,NR,ED0,T,TRB1,2018
,NR,ED0,T,TRB2,2018
,NR,ED0,T,TRC1,2018
,NR,ED0,T,TRC2,2018
,NR,ED0,T,TRC3,2018
10524.0,NR,ED1,T,AT11,2018
64665.0,NR,ED1,T,AT12,2018
72242.0,NR,ED1,T,AT13,2018
20609.0,NR,ED1,T,AT21,2018
44782.0,NR,ED1,T,AT22,2018
60199.0,NR,ED1,T,AT31,2018
20878.0,NR,ED1,T,AT32,2018
28470.0,NR,ED1,T,AT33,2018
16654.0,NR,ED1,T,AT34,2018
0.0,NR,ED1,T,ATZZ,2018
105850.0,NR,ED1,T,BE10,2018
134763.0,NR,ED1,T,BE21,2018
59962.0,NR,ED1,T,BE22,2018
106872.0,NR,ED1,T,BE23,2018
73309.0,NR,ED1,T,BE24,2018
77844.0,NR,ED1,T,BE25,2018
28592.0,NR,ED1,T,BE31,2018
100117.0,NR,ED1,T,BE32,2018
75329.0,NR,ED1,T,BE33,2018
23187.0,NR,ED1,T,BE34,2018
35411.0,NR,ED1,T,BE35,2018
0.0,NR,ED1,T,BEZZ,2018
27188.0,NR,ED1,T,BG31,2018
26031.0,NR,ED1,T,BG32,2018
34721.0,NR,ED1,T,BG33,2018
43705.0,NR,ED1,T,BG34,2018
78588.0,NR,ED1,T,BG41,2018
52502.0,NR,ED1,T,BG42,2018
0.0,NR,ED1,T,BGZZ,2018
105382.0,NR,ED1,T,CH01,2018
113765.0,NR,ED1,T,CH02,2018
70013.0,NR,ED1,T,CH03,2018
89393.0,NR,ED1,T,CH04,2018
69155.0,NR,ED1,T,CH05,2018
47815.0,NR,ED1,T,CH06,2018
19121.0,NR,ED1,T,CH07,2018
0.0,NR,ED1,T,CHZZ,2018
57079.0,NR,ED1,T,CY00,2018
69054.0,NR,ED1,T,CZ01,2018
81593.0,NR,ED1,T,CZ02,2018
66688.0,NR,ED1,T,CZ03,2018
62385.0,NR,ED1,T,CZ04,2018
84025.0,NR,ED1,T,CZ05,2018
91073.0,NR,ED1,T,CZ06,2018
65141.0,NR,ED1,T,CZ07,2018
63563.0,NR,ED1,T,CZ08,2018
0.0,NR,ED1,T,CZZZ,2018
143708.0,NR,ED1,T,DK01,2018
68841.0,NR,ED1,T,DK02,2018
99606.0,NR,ED1,T,DK03,2018
109884.0,NR,ED1,T,DK04,2018
46323.0,NR,ED1,T,DK05,2018
0.0,NR,ED1,T,DKZZ,2018
88107.0,NR,ED1,T,EE00,2018
224738.0,NR,ED1,T,EL30,2018
11320.0,NR,ED1,T,EL41,2018
22882.0,NR,ED1,T,EL42,2018
44208.0,NR,ED1,T,EL43,2018
34845.0,NR,ED1,T,EL51,2018
113574.0,NR,ED1,T,EL52,2018
15056.0,NR,ED1,T,EL53,2018
18003.0,NR,ED1,T,EL54,2018
42927.0,NR,ED1,T,EL61,2018
13183.0,NR,ED1,T,EL62,2018
40503.0,NR,ED1,T,EL63,2018
29636.0,NR,ED1,T,EL64,2018
32312.0,NR,ED1,T,EL65,2018
0.0,NR,ED1,T,ELZZ,2018
139156.0,NR,ED1,T,ES11,2018
50302.0,NR,ED1,T,ES12,2018
34248.0,NR,ED1,T,ES13,2018
138933.0,NR,ED1,T,ES21,2018
43415.0,NR,ED1,T,ES22,2018
19884.0,NR,ED1,T,ES23,2018
81761.0,NR,ED1,T,ES24,2018
438515.0,NR,ED1,T,ES30,2018
128827.0,NR,ED1,T,ES41,2018
134940.0,NR,ED1,T,ES42,2018
65177.0,NR,ED1,T,ES43,2018
516535.0,NR,ED1,T,ES51,2018
329252.0,NR,ED1,T,ES52,2018
72898.0,NR,ED1,T,ES53,2018
595787.0,NR,ED1,T,ES61,2018
111119.0,NR,ED1,T,ES62,2018
7796.0,NR,ED1,T,ES63,2018
8030.0,NR,ED1,T,ES64,2018
126821.0,NR,ED1,T,ES70,2018
0.0,NR,ED1,T,ESZZ,2018
24512832.0,NR,ED1,T,EU27_2020,2018
29405334.0,NR,ED1,T,EU28,2018
93685.0,NR,ED1,T,FI19,2018
111484.0,NR,ED1,T,FI1B,2018
72678.0,NR,ED1,T,FI1C,2018
89060.0,NR,ED1,T,FI1D,2018
1945.0,NR,ED1,T,FI20,2018
0.0,NR,ED1,T,FIZZ,2018
829030.0,NR,ED1,T,FR10,2018
161860.0,NR,ED1,T,FRB0,2018
92860.0,NR,ED1,T,FRC1,2018
74587.0,NR,ED1,T,FRC2,2018
87893.0,NR,ED1,T,FRD1,2018
121975.0,NR,ED1,T,FRD2,2018
281703.0,NR,ED1,T,FRE1,2018
128680.0,NR,ED1,T,FRE2,2018
116112.0,NR,ED1,T,FRF1,2018
82125.0,NR,ED1,T,FRF2,2018
137106.0,NR,ED1,T,FRF3,2018
249322.0,NR,ED1,T,FRG0,2018
205772.0,NR,ED1,T,FRH0,2018
199418.0,NR,ED1,T,FRI1,2018
38389.0,NR,ED1,T,FRI2,2018
103805.0,NR,ED1,T,FRI3,2018
171219.0,NR,ED1,T,FRJ1,2018
178692.0,NR,ED1,T,FRJ2,2018
75638.0,NR,ED1,T,FRK1,2018
439269.0,NR,ED1,T,FRK2,2018
313742.0,NR,ED1,T,FRL0,2018
16625.0,NR,ED1,T,FRM0,2018
31426.0,NR,ED1,T,FRY1,2018
23739.0,NR,ED1,T,FRY2,2018
28746.0,NR,ED1,T,FRY3,2018
74736.0,NR,ED1,T,FRY4,2018
37943.0,NR,ED1,T,FRY5,2018
0.0,NR,ED1,T,FRZZ,2018
53132.0,NR,ED1,T,HR03,2018
108608.0,NR,ED1,T,HR04,2018
0.0,NR,ED1,T,HRZZ,2018
65225.0,NR,ED1,T,HU11,2018
53291.0,NR,ED1,T,HU12,2018
39872.0,NR,ED1,T,HU21,2018
35958.0,NR,ED1,T,HU22,2018
31663.0,NR,ED1,T,HU23,2018
45199.0,NR,ED1,T,HU31,2018
57878.0,NR,ED1,T,HU32,2018
44751.0,NR,ED1,T,HU33,2018
0.0,NR,ED1,T,HUZZ,2018
100697.0,NR,ED1,T,IE04,2018
