values,indic_de,unit,geo,time
46.7,MEDAGEPOP,YR,DE26C,2019
41.1,MEDAGEPOP,YR,DE271,2019
46.2,MEDAGEPOP,YR,DE272,2019
43.8,MEDAGEPOP,YR,DE273,2019
45.1,MEDAGEPOP,YR,DE274,2019
45.4,MEDAGEPOP,YR,DE275,2019
45.8,MEDAGEPOP,YR,DE276,2019
45.7,MEDAGEPOP,YR,DE277,2019
44.9,MEDAGEPOP,YR,DE278,2019
44.4,MEDAGEPOP,YR,DE279,2019
47.1,MEDAGEPOP,YR,DE27A,2019
45.9,MEDAGEPOP,YR,DE27B,2019
45.7,MEDAGEPOP,YR,DE27C,2019
45.0,MEDAGEPOP,YR,DE27D,2019
47.4,MEDAGEPOP,YR,DE27E,2019
41.4,MEDAGEPOP,YR,DE300,2019
50.7,MEDAGEPOP,YR,DE401,2019
48.8,MEDAGEPOP,YR,DE402,2019
50.2,MEDAGEPOP,YR,DE403,2019
41.6,MEDAGEPOP,YR,DE404,2019
50.0,MEDAGEPOP,YR,DE405,2019
49.9,MEDAGEPOP,YR,DE406,2019
53.1,MEDAGEPOP,YR,DE407,2019
49.3,MEDAGEPOP,YR,DE408,2019
50.8,MEDAGEPOP,YR,DE409,2019
49.5,MEDAGEPOP,YR,DE40A,2019
52.9,MEDAGEPOP,YR,DE40B,2019
51.8,MEDAGEPOP,YR,DE40C,2019
51.8,MEDAGEPOP,YR,DE40D,2019
49.6,MEDAGEPOP,YR,DE40E,2019
53.4,MEDAGEPOP,YR,DE40F,2019
53.8,MEDAGEPOP,YR,DE40G,2019
48.6,MEDAGEPOP,YR,DE40H,2019
53.1,MEDAGEPOP,YR,DE40I,2019
43.5,MEDAGEPOP,YR,DE501,2019
44.7,MEDAGEPOP,YR,DE502,2019
41.0,MEDAGEPOP,YR,DE600,2019
38.0,MEDAGEPOP,YR,DE711,2019
39.4,MEDAGEPOP,YR,DE712,2019
39.7,MEDAGEPOP,YR,DE713,2019
43.2,MEDAGEPOP,YR,DE714,2019
47.8,MEDAGEPOP,YR,DE715,2019
46.1,MEDAGEPOP,YR,DE716,2019
43.4,MEDAGEPOP,YR,DE717,2019
47.2,MEDAGEPOP,YR,DE718,2019
46.4,MEDAGEPOP,YR,DE719,2019
45.7,MEDAGEPOP,YR,DE71A,2019
