values,indic_de,unit,geo,time
14.7,PC_Y0_14,PC,DE949,2019
12.8,PC_Y0_14,PC,DE94A,2019
14.7,PC_Y0_14,PC,DE94B,2019
14.0,PC_Y0_14,PC,DE94C,2019
14.0,PC_Y0_14,PC,DE94D,2019
14.5,PC_Y0_14,PC,DE94E,2019
16.1,PC_Y0_14,PC,DE94F,2019
12.9,PC_Y0_14,PC,DE94G,2019
13.1,PC_Y0_14,PC,DE94H,2019
13.7,PC_Y0_14,PC,DEA11,2019
14.2,PC_Y0_14,PC,DEA12,2019
13.5,PC_Y0_14,PC,DEA13,2019
13.6,PC_Y0_14,PC,DEA14,2019
13.7,PC_Y0_14,PC,DEA15,2019
13.4,PC_Y0_14,PC,DEA16,2019
13.3,PC_Y0_14,PC,DEA17,2019
13.9,PC_Y0_14,PC,DEA18,2019
13.9,PC_Y0_14,PC,DEA19,2019
14.3,PC_Y0_14,PC,DEA1A,2019
13.6,PC_Y0_14,PC,DEA1B,2019
13.7,PC_Y0_14,PC,DEA1C,2019
14.3,PC_Y0_14,PC,DEA1D,2019
13.2,PC_Y0_14,PC,DEA1E,2019
12.9,PC_Y0_14,PC,DEA1F,2019
14.6,PC_Y0_14,PC,DEA22,2019
13.7,PC_Y0_14,PC,DEA23,2019
14.2,PC_Y0_14,PC,DEA24,2019
13.7,PC_Y0_14,PC,DEA26,2019
14.2,PC_Y0_14,PC,DEA27,2019
13.7,PC_Y0_14,PC,DEA28,2019
13.7,PC_Y0_14,PC,DEA29,2019
14.3,PC_Y0_14,PC,DEA2A,2019
13.7,PC_Y0_14,PC,DEA2B,2019
14.5,PC_Y0_14,PC,DEA2C,2019
12.7,PC_Y0_14,PC,DEA2D,2019
12.8,PC_Y0_14,PC,DEA31,2019
14.6,PC_Y0_14,PC,DEA32,2019
12.6,PC_Y0_14,PC,DEA33,2019
15.0,PC_Y0_14,PC,DEA34,2019
14.1,PC_Y0_14,PC,DEA35,2019
13.2,PC_Y0_14,PC,DEA36,2019
14.7,PC_Y0_14,PC,DEA37,2019
14.4,PC_Y0_14,PC,DEA38,2019
14.2,PC_Y0_14,PC,DEA41,2019
14.7,PC_Y0_14,PC,DEA42,2019
13.9,PC_Y0_14,PC,DEA43,2019
13.5,PC_Y0_14,PC,DEA44,2019
14.7,PC_Y0_14,PC,DEA45,2019
14.3,PC_Y0_14,PC,DEA46,2019
14.6,PC_Y0_14,PC,DEA47,2019
12.2,PC_Y0_14,PC,DEA51,2019
13.5,PC_Y0_14,PC,DEA52,2019
14.2,PC_Y0_14,PC,DEA53,2019
14.3,PC_Y0_14,PC,DEA54,2019
13.2,PC_Y0_14,PC,DEA55,2019
12.7,PC_Y0_14,PC,DEA56,2019
13.3,PC_Y0_14,PC,DEA57,2019
13.7,PC_Y0_14,PC,DEA58,2019
14.0,PC_Y0_14,PC,DEA59,2019
13.4,PC_Y0_14,PC,DEA5A,2019
13.9,PC_Y0_14,PC,DEA5B,2019
13.2,PC_Y0_14,PC,DEA5C,2019
12.3,PC_Y0_14,PC,DEB11,2019
12.6,PC_Y0_14,PC,DEB12,2019
13.5,PC_Y0_14,PC,DEB13,2019
13.4,PC_Y0_14,PC,DEB14,2019
12.5,PC_Y0_14,PC,DEB15,2019
13.5,PC_Y0_14,PC,DEB17,2019
13.8,PC_Y0_14,PC,DEB18,2019
13.0,PC_Y0_14,PC,DEB1A,2019
