values,unit,isced11,geo,time
17.2,RT,ED02-8,PT18,2018
19.1,RT,ED02-8,PT20,2018
18.2,RT,ED02-8,PT30,2018
19.3,RT,ED02-8,RO11,2018
18.3,RT,ED02-8,RO12,2018
19.3,RT,ED02-8,RO21,2018
17.4,RT,ED02-8,RO22,2018
15.2,RT,ED02-8,RO31,2018
21.8,RT,ED02-8,RO32,2018
16.8,RT,ED02-8,RO41,2018
17.5,RT,ED02-8,RO42,2018
22.8,RT,ED02-8,RS11,2018
16.8,RT,ED02-8,RS12,2018
15.2,RT,ED02-8,RS21,2018
14.8,RT,ED02-8,RS22,2018
27.6,RT,ED02-8,SE11,2018
28.2,RT,ED02-8,SE12,2018
26.4,RT,ED02-8,SE21,2018
27.2,RT,ED02-8,SE22,2018
26.9,RT,ED02-8,SE23,2018
25.6,RT,ED02-8,SE31,2018
25.2,RT,ED02-8,SE32,2018
27.5,RT,ED02-8,SE33,2018
17.5,RT,ED02-8,SI03,2018
22.7,RT,ED02-8,SI04,2018
25.0,RT,ED02-8,SK01,2018
16.3,RT,ED02-8,SK02,2018
17.5,RT,ED02-8,SK03,2018
18.5,RT,ED02-8,SK04,2018
,RT,ED02-8,TR10,2018
,RT,ED02-8,TR21,2018
,RT,ED02-8,TR22,2018
,RT,ED02-8,TR31,2018
,RT,ED02-8,TR32,2018
,RT,ED02-8,TR33,2018
,RT,ED02-8,TR41,2018
,RT,ED02-8,TR42,2018
,RT,ED02-8,TR51,2018
,RT,ED02-8,TR52,2018
,RT,ED02-8,TR61,2018
,RT,ED02-8,TR62,2018
,RT,ED02-8,TR63,2018
,RT,ED02-8,TR71,2018
,RT,ED02-8,TR72,2018
,RT,ED02-8,TR81,2018
,RT,ED02-8,TR82,2018
,RT,ED02-8,TR83,2018
,RT,ED02-8,TR90,2018
,RT,ED02-8,TRA1,2018
,RT,ED02-8,TRA2,2018
,RT,ED02-8,TRB1,2018
,RT,ED02-8,TRB2,2018
,RT,ED02-8,TRC1,2018
,RT,ED02-8,TRC2,2018
,RT,ED02-8,TRC3,2018
,RT,ED02-8,TRZZ,2018
7.3,RT,ED1_2,AT11,2018
7.8,RT,ED1_2,AT12,2018
7.6,RT,ED1_2,AT13,2018
7.4,RT,ED1_2,AT21,2018
7.2,RT,ED1_2,AT22,2018
8.1,RT,ED1_2,AT31,2018
7.8,RT,ED1_2,AT32,2018
7.7,RT,ED1_2,AT33,2018
8.7,RT,ED1_2,AT34,2018
14.3,RT,ED1_2,BE10,2018
11.0,RT,ED1_2,BE21,2018
10.2,RT,ED1_2,BE22,2018
10.6,RT,ED1_2,BE23,2018
9.7,RT,ED1_2,BE24,2018
9.8,RT,ED1_2,BE25,2018
10.1,RT,ED1_2,BE31,2018
11.6,RT,ED1_2,BE32,2018
10.3,RT,ED1_2,BE33,2018
12.3,RT,ED1_2,BE34,2018
10.8,RT,ED1_2,BE35,2018
,RT,ED1_2,BEZZ,2018
6.6,RT,ED1_2,BG31,2018
5.9,RT,ED1_2,BG32,2018
6.6,RT,ED1_2,BG33,2018
7.4,RT,ED1_2,BG34,2018
6.4,RT,ED1_2,BG41,2018
6.5,RT,ED1_2,BG42,2018
,RT,ED1_2,BGZZ,2018
9.8,RT,ED1_2,CH01,2018
9.1,RT,ED1_2,CH02,2018
9.0,RT,ED1_2,CH03,2018
8.8,RT,ED1_2,CH04,2018
8.9,RT,ED1_2,CH05,2018
8.9,RT,ED1_2,CH06,2018
8.2,RT,ED1_2,CH07,2018
9.7,RT,ED1_2,CY00,2018
8.9,RT,ED1_2,CZ01,2018
9.7,RT,ED1_2,CZ02,2018
9.2,RT,ED1_2,CZ03,2018
9.6,RT,ED1_2,CZ04,2018
9.4,RT,ED1_2,CZ05,2018
9.1,RT,ED1_2,CZ06,2018
9.2,RT,ED1_2,CZ07,2018
9.1,RT,ED1_2,CZ08,2018
11.4,RT,ED1_2,DK01,2018
12.8,RT,ED1_2,DK02,2018
12.7,RT,ED1_2,DK03,2018
12.8,RT,ED1_2,DK04,2018
12.1,RT,ED1_2,DK05,2018
9.7,RT,ED1_2,EE00,2018
8.9,RT,ED1_2,EL30,2018
8.1,RT,ED1_2,EL41,2018
10.1,RT,ED1_2,EL42,2018
10.5,RT,ED1_2,EL43,2018
8.8,RT,ED1_2,EL51,2018
9.1,RT,ED1_2,EL52,2018
8.6,RT,ED1_2,EL53,2018
8.1,RT,ED1_2,EL54,2018
8.9,RT,ED1_2,EL61,2018
9.8,RT,ED1_2,EL62,2018
9.2,RT,ED1_2,EL63,2018
8.1,RT,ED1_2,EL64,2018
8.5,RT,ED1_2,EL65,2018
8.0,RT,ED1_2,ES11,2018
7.6,RT,ED1_2,ES12,2018
9.1,RT,ED1_2,ES13,2018
9.7,RT,ED1_2,ES21,2018
10.2,RT,ED1_2,ES22,2018
9.8,RT,ED1_2,ES23,2018
9.5,RT,ED1_2,ES24,2018
10.2,RT,ED1_2,ES30,2018
8.2,RT,ED1_2,ES41,2018
10.7,RT,ED1_2,ES42,2018
10.1,RT,ED1_2,ES43,2018
10.4,RT,ED1_2,ES51,2018
10.2,RT,ED1_2,ES52,2018
9.8,RT,ED1_2,ES53,2018
11.0,RT,ED1_2,ES61,2018
11.6,RT,ED1_2,ES62,2018
14.6,RT,ED1_2,ES63,2018
14.8,RT,ED1_2,ES64,2018
9.5,RT,ED1_2,ES70,2018
15.1,RT,ED1_2,EU27_2020,2018
15.6,RT,ED1_2,EU28,2018
10.1,RT,ED1_2,FI19,2018
10.0,RT,ED1_2,FI1B,2018
9.5,RT,ED1_2,FI1C,2018
10.4,RT,ED1_2,FI1D,2018
9.8,RT,ED1_2,FI20,2018
11.9,RT,ED1_2,FR10,2018
11.3,RT,ED1_2,FRB0,2018
10.4,RT,ED1_2,FRC1,2018
11.4,RT,ED1_2,FRC2,2018
10.9,RT,ED1_2,FRD1,2018
11.8,RT,ED1_2,FRD2,2018
12.3,RT,ED1_2,FRE1,2018
11.9,RT,ED1_2,FRE2,2018
10.9,RT,ED1_2,FRF1,2018
11.1,RT,ED1_2,FRF2,2018
10.6,RT,ED1_2,FRF3,2018
12.0,RT,ED1_2,FRG0,2018
11.3,RT,ED1_2,FRH0,2018
10.4,RT,ED1_2,FRI1,2018
9.5,RT,ED1_2,FRI2,2018
10.4,RT,ED1_2,FRI3,2018
10.8,RT,ED1_2,FRJ1,2018
10.5,RT,ED1_2,FRJ2,2018
10.2,RT,ED1_2,FRK1,2018
11.8,RT,ED1_2,FRK2,2018
11.0,RT,ED1_2,FRL0,2018
8.8,RT,ED1_2,FRM0,2018
14.0,RT,ED1_2,FRY1,2018
11.9,RT,ED1_2,FRY2,2018
18.6,RT,ED1_2,FRY3,2018
15.8,RT,ED1_2,FRY4,2018
25.6,RT,ED1_2,FRY5,2018
8.0,RT,ED1_2,HR03,2018
8.3,RT,ED1_2,HR04,2018
7.5,RT,ED1_2,HU11,2018
8.4,RT,ED1_2,HU12,2018
7.7,RT,ED1_2,HU21,2018
7.5,RT,ED1_2,HU22,2018
7.4,RT,ED1_2,HU23,2018
8.2,RT,ED1_2,HU31,2018
8.2,RT,ED1_2,HU32,2018
7.5,RT,ED1_2,HU33,2018
16.9,RT,ED1_2,IE04,2018
16.8,RT,ED1_2,IE05,2018
16.3,RT,ED1_2,IE06,2018
13.0,RT,ED1_2,IS00,2018
7.4,RT,ED1_2,ITC1,2018
7.5,RT,ED1_2,ITC2,2018
6.7,RT,ED1_2,ITC3,2018
7.9,RT,ED1_2,ITC4,2018
7.0,RT,ED1_2,ITF1,2018
6.9,RT,ED1_2,ITF2,2018
8.6,RT,ED1_2,ITF3,2018
7.8,RT,ED1_2,ITF4,2018
7.0,RT,ED1_2,ITF5,2018
7.6,RT,ED1_2,ITF6,2018
8.1,RT,ED1_2,ITG1,2018
6.8,RT,ED1_2,ITG2,2018
8.5,RT,ED1_2,ITH1,2018
8.1,RT,ED1_2,ITH2,2018
7.8,RT,ED1_2,ITH3,2018
7.0,RT,ED1_2,ITH4,2018
7.6,RT,ED1_2,ITH5,2018
7.3,RT,ED1_2,ITI1,2018
7.1,RT,ED1_2,ITI2,2018
7.5,RT,ED1_2,ITI3,2018
7.5,RT,ED1_2,ITI4,2018
9.3,RT,ED1_2,LI00,2018
10.3,RT,ED1_2,LT01,2018
9.9,RT,ED1_2,LT02,2018
10.1,RT,ED1_2,LU00,2018
9.2,RT,ED1_2,LV00,2018
10.9,RT,ED1_2,ME00,2018
9.3,RT,ED1_2,MK00,2018
8.3,RT,ED1_2,MT00,2018
10.4,RT,ED1_2,NL11,2018
12.1,RT,ED1_2,NL12,2018
11.8,RT,ED1_2,NL13,2018
12.5,RT,ED1_2,NL21,2018
11.8,RT,ED1_2,NL22,2018
13.9,RT,ED1_2,NL23,2018
12.2,RT,ED1_2,NL31,2018
11.0,RT,ED1_2,NL32,2018
11.5,RT,ED1_2,NL33,2018
11.0,RT,ED1_2,NL34,2018
11.2,RT,ED1_2,NL41,2018
9.5,RT,ED1_2,NL42,2018
11.6,RT,ED1_2,NO01,2018
11.1,RT,ED1_2,NO02,2018
11.9,RT,ED1_2,NO03,2018
13.1,RT,ED1_2,NO04,2018
12.2,RT,ED1_2,NO05,2018
11.8,RT,ED1_2,NO06,2018
11.5,RT,ED1_2,NO07,2018
9.2,RT,ED1_2,PL21,2018
8.4,RT,ED1_2,PL22,2018
9.6,RT,ED1_2,PL41,2018
8.5,RT,ED1_2,PL42,2018
8.9,RT,ED1_2,PL43,2018
8.3,RT,ED1_2,PL51,2018
7.9,RT,ED1_2,PL52,2018
8.9,RT,ED1_2,PL61,2018
9.0,RT,ED1_2,PL62,2018
9.6,RT,ED1_2,PL63,2018
8.4,RT,ED1_2,PL71,2018
8.3,RT,ED1_2,PL72,2018
8.7,RT,ED1_2,PL81,2018
8.9,RT,ED1_2,PL82,2018
8.6,RT,ED1_2,PL84,2018
9.6,RT,ED1_2,PL91,2018
9.4,RT,ED1_2,PL92,2018
,RT,ED1_2,PLZZ,2018
9.3,RT,ED1_2,PT11,2018
10.5,RT,ED1_2,PT15,2018
8.7,RT,ED1_2,PT16,2018
10.5,RT,ED1_2,PT17,2018
9.2,RT,ED1_2,PT18,2018
11.2,RT,ED1_2,PT20,2018
10.5,RT,ED1_2,PT30,2018
8.5,RT,ED1_2,RO11,2018
9.0,RT,ED1_2,RO12,2018
9.7,RT,ED1_2,RO21,2018
8.9,RT,ED1_2,RO22,2018
8.3,RT,ED1_2,RO31,2018
8.0,RT,ED1_2,RO32,2018
7.9,RT,ED1_2,RO41,2018
7.7,RT,ED1_2,RO42,2018
7.6,RT,ED1_2,RS11,2018
7.8,RT,ED1_2,RS12,2018
8.0,RT,ED1_2,RS21,2018
7.6,RT,ED1_2,RS22,2018
13.1,RT,ED1_2,SE11,2018
12.7,RT,ED1_2,SE12,2018
12.5,RT,ED1_2,SE21,2018
12.8,RT,ED1_2,SE22,2018
12.5,RT,ED1_2,SE23,2018
12.1,RT,ED1_2,SE31,2018
12.4,RT,ED1_2,SE32,2018
11.1,RT,ED1_2,SE33,2018
8.6,RT,ED1_2,SI03,2018
9.2,RT,ED1_2,SI04,2018
8.9,RT,ED1_2,SK01,2018
8.0,RT,ED1_2,SK02,2018
8.8,RT,ED1_2,SK03,2018
9.9,RT,ED1_2,SK04,2018
,RT,ED1_2,TR10,2018
,RT,ED1_2,TR21,2018
,RT,ED1_2,TR22,2018
,RT,ED1_2,TR31,2018
,RT,ED1_2,TR32,2018
,RT,ED1_2,TR33,2018
,RT,ED1_2,TR41,2018
,RT,ED1_2,TR42,2018
,RT,ED1_2,TR51,2018
,RT,ED1_2,TR52,2018
,RT,ED1_2,TR61,2018
,RT,ED1_2,TR62,2018
,RT,ED1_2,TR63,2018
,RT,ED1_2,TR71,2018
,RT,ED1_2,TR72,2018
,RT,ED1_2,TR81,2018
,RT,ED1_2,TR82,2018
,RT,ED1_2,TR83,2018
,RT,ED1_2,TR90,2018
,RT,ED1_2,TRA1,2018
,RT,ED1_2,TRA2,2018
,RT,ED1_2,TRB1,2018
,RT,ED1_2,TRB2,2018
,RT,ED1_2,TRC1,2018
,RT,ED1_2,TRC2,2018
,RT,ED1_2,TRC3,2018
,RT,ED1_2,TRZZ,2018
